ticker,name,market_cap,price,sector,market
KARNEL.B,Karnell Group AB (publ),3.47B,66.30,Unknown,OMX Stockholm
TRIAN.B,Fastighets AB Trianon (publ),3.47B,18.76,Unknown,OMX Stockholm
VIVA,Viva Wine Group AB,3.46B,39.00,Unknown,OMX Stockholm
HUMBLE,Humble Group AB (publ),3.42B,7.79,Unknown,OMX Stockholm
ACAST,Acast AB (publ),3.33B,18.14,Unknown,OMX Stockholm
NOBI,Nobia AB (publ),3.31B,4.900,Unknown,OMX Stockholm
GREEN,Green Landscaping Group AB (publ),3.30B,58.30,Unknown,OMX Stockholm
NPAPER,Nordic Paper Holding AB (publ),3.19B,47.72,Unknown,OMX Stockholm
FLERIE,Flerie AB (publ),3.15B,42.35,Unknown,OMX Stockholm
VNV,VNV Global AB (publ),3.13B,23.82,Unknown,OMX Stockholm
BRE2,Bredband2 i Skandinavien AB (publ),3.12B,3.260,Unknown,OMX Stockholm
KNOW,Knowit AB (publ),3.12B,114.00,Unknown,OMX Stockholm
CTT,CTT Systems AB (publ),2.98B,237.50,Unknown,OMX Stockholm
SVED.B,Svedbergs Group AB (publ),2.88B,54.00,Unknown,OMX Stockholm
KBC,KB Components AB (publ),2.74B,49.00,Unknown,OMX Stockholm
HNSA,Hansa Biopharma AB (publ),2.74B,32.30,Unknown,OMX Stockholm
ABSO,Absolent Air Care Group AB (publ),2.71B,238.00,Unknown,OMX Stockholm
CRNO.B,Cereno Scientific AB (publ),2.63B,9.29,Unknown,OMX Stockholm
CAT.A,Catella AB (publ),2.62B,29.60,Unknown,OMX Stockholm
CAT.B,Catella AB (publ),2.62B,30.80,Unknown,OMX Stockholm
SF,Stillfront Group AB (publ),2.61B,5.09,Unknown,OMX Stockholm
PACT,Proact IT Group AB (publ),2.50B,94.00,Unknown,OMX Stockholm
VICO,Vicore Pharma Holding AB (publ),2.48B,10.74,Unknown,OMX Stockholm
KLARA.B,KlaraBo Sverige AB (publ),2.47B,16.08,Unknown,OMX Stockholm
